Date,U.S. Exports of Crude Oil (Thousand Barrels),U.S. Imports of Crude Oil (Thousand Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),U.S. Field Production of Crude Oil (Thousand Barrels per Day),U.S. Imports from Saudi Arabia of Crude Oil (Thousand Barrels),U.S. Crude Oil Rotary Rigs in Operation (Count),**U.S. Ending Stocks of Crude Oil (Thousand Barrels),"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",U.S. Crude Oil Stocks at Refineries (Thousand Barrels),U.S. Gross Inputs to Refineries (Thousand Barrels Per Day),U.S. Product Supplied of Crude Oil (Thousand Barrels)
,,,,,,,,,,,
Dec-2010,1249,269553,173812,5607,33363,759,1038627,89.15,88982,15555,0
,,,,,,,,,,,
Jan-2011,2228,284678,170319,5494,34052,793,1050002,89.17,88892,15035,0
,,,,,,,,,,,
Feb-2011,847,229140,151291,5403,31197,801,1053356,88.58,85808,14195,0
,,,,,,,,,,,
Mar-2011,1126,284677,174068,5615,34319,830,1064963,102.86,93978,14963,0
,,,,,,,,,,,
Apr-2011,1227,265167,166728,5558,32682,896,1070955,109.53,93848,14710,0
,,,,,,,,,,,
May-2011,1148,280840,174296,5622,37114,948,1072614,100.9,96011,15129,0
,,,,,,,,,,,
Jun-2011,1066,277050,167619,5587,34910,979,1060230,96.26,95156,15778,0
,,,,,,,,,,,
Jul-2011,2263,287563,168617,5439,40526,1014,1042507,97.3,93695,16001,0
,,,,,,,,,,,
Aug-2011,1047,277006,175576,5664,33313,1055,1021273,86.33,91322,16009,0
,,,,,,,,,,,
Sep-2011,1065,267410,168416,5614,43959,1063,1004196,85.52,88791,15735,0
,,,,,,,,,,,
Oct-2011,1568,276125,182923,5901,34714,1077,1010873,86.32,93400,15050,0
,,,,,,,,,,,
Nov-2011,1928,261729,181022,6034,36089,1125,1010553,97.16,91921,15426,0
,,,,,,,,,,,
Dec-2011,1646,270037,187441,6046,40097,1177,1004172,98.56,90640,15341,0
,,,,,,,,,,,
Jan-2012,2425,264348,191275,6170,44103,1208,1013833,100.27,92155,14865,0
,,,,,,,,,,,
Feb-2012,2127,248296,181703,6266,40813,1261,1018830,102.2,89282,15019,0
,,,,,,,,,,,
Mar-2012,2196,271888,196083,6325,42372,1307,1043559,106.16,96095,14783,0
,,,,,,,,,,,
Apr-2012,1228,259077,189673,6322,47832,1329,1052996,103.32,96746,14952,0
,,,,,,,,,,,
May-2012,2571,278720,197316,6365,47547,1373,1059710,94.66,94087,15657,0
,,,,,,,,,,,
Jun-2012,1381,275790,187992,6266,43683,1409,1058104,82.3,93423,15983,0
,,,,,,,,,,,
Jul-2012,2388,270061,199094,6422,45199,1419,1042627,87.9,94647,15991,0
,,,,,,,,,,,
Aug-2012,1866,268600,196723,6346,37816,1423,1032341,94.13,91331,15679,0
,,,,,,,,,,,
Sep-2012,2038,251431,197777,6593,38744,1409,1038294,94.51,91604,15248,0
,,,,,,,,,,,
Oct-2012,2079,251338,215840,6963,38883,1407,1044483,89.49,93440,15153,0
,,,,,,,,,,,
Nov-2012,2201,245487,212221,7074,39193,1385,1047363,86.53,96684,15416,0
,,,,,,,,,,,
Dec-2012,2191,235719,220007,7097,31924,1358,1033064,87.86,88781,15717,0
,,,,,,,,,,,
Jan-2013,3384,246629,219508,7081,29982,1318,1045099,94.76,93647,14934,0
,,,,,,,,,,,
Feb-2013,3705,204191,200123,7147,28770,1332,1052768,95.31,93557,14542,0
,,,,,,,,,,,
Mar-2013,3310,232398,223307,7203,39796,1339,1060590,92.94,97494,14907,0
,,,,,,,,,,,
Apr-2013,4151,232807,221142,7371,33203,1374,1063524,92.02,96043,15282,0
,,,,,,,,,,,
May-2013,4034,239970,227060,7325,44627,1407,1059273,94.51,96028,15714,0
,,,,,,,,,,,
Jun-2013,3723,231930,218279,7276,42928,1404,1044776,95.77,89729,16313,0
,,,,,,,,,,,
Jul-2013,3217,249788,233225,7523,40870,1396,1035360,104.67,92109,16483,0
,,,,,,,,,,,
Aug-2013,2192,251079,233462,7531,41290,1388,1033096,106.57,97578,16291,0
,,,,,,,,,,,
Sep-2013,3162,237699,235077,7836,46161,1364,1039985,106.29,90764,16157,0
,,,,,,,,,,,
Oct-2013,3679,231822,240477,7757,42171,1364,1048566,100.54,91946,15475,0
,,,,,,,,,,,
Nov-2013,7578,222248,237483,7916,46679,1384,1040141,93.86,89058,16135,0
,,,,,,,,,,,
Dec-2013,6834,240919,245758,7928,47090,1396,1023160,97.63,85114,16377,0
,,,,,,,,,,,
Jan-2014,7698,235269,250238,8072,45311,1403,1032207,94.62,87366,15649,0
,,,,,,,,,,,
Feb-2014,6907,201572,228244,8152,40598,1424,1041243,100.82,87915,15518,0
,,,,,,,,,,,
Mar-2014,7794,225487,257010,8291,44167,1466,1050916,100.8,92714,15390,0
,,,,,,,,,,,
Apr-2014,8448,226639,255655,8522,47364,1515,1058654,102.07,95770,16264,0
,,,,,,,,,,,
May-2014,9567,222177,267962,8644,37942,1530,1056432,102.18,97744,16197,0
,,,,,,,,,,,
Jun-2014,11833,212025,262402,8747,30504,1545,1045277,105.79,94714,16087,0
,,,,,,,,,,,
Jul-2014,13045,236534,274213,8846,38153,1560,1029709,103.59,92979,16880,0
,,,,,,,,,,,
Aug-2014,12136,231649,276342,8914,27705,1578,1022048,96.54,88509,16707,0
,,,,,,,,,,,
Sep-2014,10479,224851,272335,9078,30120,1592,1023124,93.21,92270,16358,0
,,,,,,,,,,,
Oct-2014,11653,221600,286928,9256,25591,1596,1042683,84.4,95244,15660,0
,,,,,,,,,,,
Nov-2014,15619,218845,279495,9317,30421,1573,1047692,75.79,98470,16367,0
,,,,,,,,,,,
Dec-2014,13053,223978,296382,9561,25190,1539,1051824,59.29,95794,16751,0
,,,,,,,,,,,
Jan-2015,15342,222315,290880,9383,24428,1362,1080169,47.22,101200,15767,0
,,,,,,,,,,,
Feb-2015,12380,198807,266196,9507,25513,1050,1106266,50.58,98384,15635,0
,,,,,,,,,,,
Mar-2015,13565,235360,297133,9585,32450,857,1134150,47.82,103658,15878,0
,,,,,,,,,,,
Apr-2015,17969,216229,289651,9655,36137,750,1143660,54.45,101954,16521,0
,,,,,,,,,,,
May-2015,16338,224604,293681,9474,37415,662,1141306,59.27,101462,16612,0
,,,,,,,,,,,
Jun-2015,13355,219618,280622,9354,32287,634,1132701,59.82,102031,16924,0
,,,,,,,,,,,
Jul-2015,16934,228160,292693,9442,36776,649,1119943,50.9,99047,17185,0
,,,,,,,,,,,
Aug-2015,14286,239212,291851,9415,31121,673,1120983,42.87,100691,16962,0
,,,,,,,,,,,
Sep-2015,12314,216838,284344,9478,25831,650,1124257,45.48,102056,16427,0
,,,,,,,,,,,
Oct-2015,15503,220171,291271,9396,30480,597,1150339,46.22,105765,15691,0
,,,,,,,,,,,
Nov-2015,9592,221130,279648,9322,36953,566,1151117,42.44,101434,16683,0
,,,,,,,,,,,
Dec-2015,12162,244965,287168,9263,34680,537,1144339,37.19,100580,16842,0
,,,,,,,,,,,
Jan-2016,15176,236065,285111,9197,32674,510,1166883,31.68,101857,16297,0
,,,,,,,,,,,
Feb-2016,13161,229492,262610,9056,29738,430,1187267,30.32,108660,16179,0
,,,,,,,,,,,
Mar-2016,18471,248383,281760,9089,39204,384,1199923,37.55,101149,16287,0
,,,,,,,,,,,
Apr-2016,18714,228344,266065,8869,34172,348,1204430,40.75,103372,16223,0
,,,,,,,,,,,
May-2016,24414,245749,273504,8823,36270,320,1206965,46.71,105464,16477,0
,,,,,,,,,,,
Jun-2016,15915,226802,259624,8654,32645,330,1195957,48.76,103255,16803,0
,,,,,,,,,,,
Jul-2016,16612,250986,268018,8646,32593,359,1188554,44.65,103724,17000,0
,,,,,,,,,,,
Aug-2016,22331,248482,268963,8676,35407,397,1181768,44.72,100496,16976,0
,,,,,,,,,,,
Sep-2016,23241,241213,256015,8534,36266,416,1166627,45.18,98474,16687,0
,,,,,,,,,,,
Oct-2016,15552,234666,273858,8834,31705,436,1186290,49.78,102239,15783,0
,,,,,,,,,,,
Nov-2016,18170,240691,266924,8897,30005,462,1185818,45.66,101702,16545,0
,,,,,,,,,,,
Dec-2016,14518,242335,272731,8798,31439,507,1179704,51.97,92756,16896,0
,,,,,,,,,,,
Jan-2017,22046,262811,274763,8863,41651,542,1201876,52.5,99207,16462,0
,,,,,,,,,,,
Feb-2017,32092,220558,254875,9103,37476,593,1220244,53.47,101847,15827,0
,,,,,,,,,,,
Mar-2017,28831,253114,284028,9162,36351,634,1230105,49.33,104787,16421,0
,,,,,,,,,,,
Apr-2017,33835,246132,273008,9100,34812,685,1213073,51.06,98947,17276,0
,,,,,,,,,,,
May-2017,34049,263106,284659,9183,34585,714,1201286,48.48,101180,17514,0
,,,,,,,,,,,
Jun-2017,25953,242677,273198,9107,31347,747,1180731,45.18,98921,17527,0
,,,,,,,,,,,
Jul-2017,29642,245369,286287,9235,24634,765,1162294,46.63,99934,17659,0
,,,,,,,,,,,
Aug-2017,25338,245611,286702,9248,22900,764,1138781,48.04,95544,17243,0
,,,,,,,,,,,
Sep-2017,43899,219708,285356,9512,19969,752,1143228,49.82,96733,15788,0
,,,,,,,,,,,
Oct-2017,53327,238109,299250,9653,18041,741,1128682,51.58,97328,16343,0
,,,,,,,,,,,
Nov-2017,46323,230230,302120,10071,23399,738,1114332,56.64,99015,17127,0
,,,,,,,,,,,
Dec-2017,47184,241245,309172,9973,21402,748,1084477,57.88,94752,17562,0
,,,,,,,,,,,
Jan-2018,42221,248552,310548,10018,21997,750,1084994,63.7,97302,16917,0
,,,,,,,,,,,
Feb-2018,48589,209942,287879,10281,17518,788,1089301,62.23,96007,16360,0
,,,,,,,,,,,
Mar-2018,61050,236216,325625,10504,23203,799,1090395,62.73,95106,16945,0
,,,,,,,,,,,
Apr-2018,57581,247608,315308,10510,26572,817,1100544,66.25,101113,17101,0
,,,,,,,,,,,
May-2018,64080,242857,324245,10460,27039,845,1094364,69.98,102120,17341,0
,,,,,,,,,,,
Jun-2018,68366,254623,319472,10649,25062,861,1075167,67.87,99658,18041,0
,,,,,,,,,,,
Jul-2018,71509,246014,337621,10891,27143,861,1069654,70.98,98716,17688,0
,,,,,,,,,,,
Aug-2018,57619,247656,352176,11361,31144,864,1067594,68.06,99063,17969,0
,,,,,,,,,,,
Sep-2018,60453,227795,344930,11498,29431,864,1076693,70.23,99566,17383,0
,,,,,,,,,,,
Oct-2018,69951,227975,360572,11631,32430,870,1088648,70.75,96231,16735,0
,,,,,,,,,,,
Nov-2018,72013,226251,359979,11999,29958,884,1098946,56.96,97534,17500,0
,,,,,,,,,,,
Dec-2018,74109,220002,373164,12038,26102,880,1091640,49.52,92421,17749,0
,,,,,,,,,,,
Jan-2019,79830,233126,367548,11856,22039,866,1097943,51.38,97777,17098,0
,,,,,,,,,,,
Feb-2019,83721,186243,326734,11669,16154,853,1100854,54.95,93078,16106,0
,,,,,,,,,,,
Mar-2019,83196,209541,368644,11892,19837,830,1108448,58.15,94781,16188,0
,,,,,,,,,,,
Apr-2019,85276,210741,363682,12123,17055,824,1117417,63.86,100194,16691,0
,,,,,,,,,,,
May-2019,89908,221900,375507,12113,14015,802,1124976,60.83,102604,17041,0
,,,,,,,,,,,
Jun-2019,94776,214233,361805,12060,16861,790,1108779,54.66,98881,17702,0
,,,,,,,,,,,
Jul-2019,83512,214988,364736,11766,12234,782,1086868,57.35,93875,17698,0
,,,,,,,,,,,
Aug-2019,84550,215273,383317,12365,12929,760,1075634,54.81,92884,17847,0
,,,,,,,,,,,
,,,,,,,,56.95,,,
